# name	duration	start_frame	end_frame	prompt
00_idle	4	rest_center	rest_center	The cat stands relaxed facing the camera, breathing gently, blinks twice, tail sways slowly side to side, a tiny head tilt and a small weight shift, then returns exactly to the relaxed standing pose. Very subtle idle motion.
02_point	4	rest_center	rest_center	The cat raises its right arm and points clearly toward the left side of the frame as if presenting something off-screen, turns its head to look that way with an excited smile, gives a small nod, then lowers the arm and returns to the relaxed standing pose facing the camera.
03_think	4	rest_center	rest_center	The cat puts one paw on its chin, tilts its head, looks up to the side thoughtfully with a small hmm expression, taps the chin twice, then lowers the paw and returns to the relaxed standing pose facing the camera.
04_type	5	type_center	type_center	The cat sits cross-legged with a small light-blue laptop on its lap and types quickly with both paws, pauses to lean in and check the screen with a focused face, then resumes typing. Seamless loop, ends in the same sitting typing pose as the start.
05_wait	4	rest_center	rest_center	The cat waits impatiently: looks off to the side as if watching a loading screen, taps one foot, tail flicks twice, lets out a small bored sigh with half-closed eyes, then straightens up into the relaxed standing pose facing the camera.
06_surprise	3	rest_center	rest_center	The cat is suddenly surprised: eyes go wide, it hops back a little with both paws up and mouth open in a small gasp, then relaxes and returns to the relaxed standing pose facing the camera.
07_celebrate	4	rest_center	rest_center	The cat jumps for joy with both arms raised high and a happy closed-eye smile, lands and does one more small happy bounce with sparkly eyes, then settles back into the relaxed standing pose facing the camera.
08_review	4	rest_center	rest_center	The cat leans forward slightly and squints as if inspecting something very closely, slowly scans left and right with its head like reading a screen, gives a satisfied nod, then returns to the relaxed standing pose facing the camera.
09_error	3	rest_center	rest_center	The cat notices a mistake: flinches, ears droop, a small sweat drop appears, paws come up near its face in a flustered way with wide worried eyes, then it shakes it off and returns to the relaxed standing pose facing the camera.
10_goodbye	5	rest_center	green_empty	The cat waves goodbye at the camera with a big smile, then turns and walks off toward the right side with a bouncy step, exiting the frame completely so only the empty green background remains at the end.
